date,region,city,units,revenue,cost,Marketing_Spend
2025-04-25,San Francisco,San Francisco,108,2045.55,1431.88,306.83
2025-05-05,Contra Costa,Walnut Creek,135,2632.67,1842.87,394.9
2025-02-13,Santa Clara,Palo Alto,59,1472.34,1030.64,220.85
2025-04-16,Solano,Vallejo,87,1752.75,1226.92,262.91
2025-06-15,Contra Costa,Richmond,181,3298.59,2309.01,494.79
2025-04-19,Contra Costa,Walnut Creek,140,3470.37,2429.26,520.56
2025-03-03,San Mateo,San Mateo,89,1665.06,1165.54,249.76
2025-06-21,San Mateo,San Mateo,140,3038.31,2126.82,455.75
2025-05-28,Marin,San Rafael,143,3486.48,2440.54,522.97
2025-04-23,Santa Clara,Mountain View,62,1245.55,871.88,186.83
2025-06-06,San Francisco,San Francisco,178,4376.91,3063.84,656.54
2025-02-10,Sonoma,Santa Rosa,148,2704.36,1893.05,405.65
2025-01-02,Sonoma,Santa Rosa,191,4517.3,3162.11,677.6
2025-01-18,San Mateo,Redwood City,128,2945.99,2062.19,441.9
2025-06-29,San Francisco,San Francisco,197,4505.69,3153.98,675.85
2025-02-05,Contra Costa,Richmond,52,1216.21,851.35,182.43
2025-05-20,San Francisco,San Francisco,145,3575.46,2502.82,536.32
2025-06-02,Alameda,Oakland,54,1043.12,730.18,156.47
2025-03-10,Napa,Yountville,151,2811.53,1968.07,421.73
2025-04-10,Santa Clara,San Jose,54,1240.49,868.34,186.07
2025-02-04,Santa Clara,Palo Alto,188,3445.85,2412.09,516.88
2025-06-07,Santa Clara,Palo Alto,69,1694.84,1186.39,254.23
2025-01-07,Alameda,Berkeley,130,2554.83,1788.38,383.22
2025-01-24,Alameda,Fremont,153,3165.81,2216.07,474.87
2025-02-23,Napa,Yountville,176,3835.44,2684.81,575.32
2025-03-16,Napa,St. Helena,91,2023.06,1416.14,303.46
2025-04-24,Santa Clara,Mountain View,96,2371.68,1660.18,355.75
2025-01-08,Alameda,Berkeley,104,2420.42,1694.29,363.06
2025-04-15,Contra Costa,Concord,84,2006.5,1404.55,300.97
2025-05-16,Solano,Fairfield,156,3588.36,2511.85,538.25
2025-02-05,Solano,Vallejo,191,4112.33,2878.63,616.85
2025-03-16,San Francisco,San Francisco,154,2959.03,2071.32,443.85
2025-06-26,Alameda,Oakland,84,1957.09,1369.96,293.56
2025-02-15,Santa Clara,San Jose,172,3612.05,2528.43,541.81
2025-02-06,Solano,Vallejo,197,4644.42,3251.09,696.66
2025-03-03,Santa Clara,Palo Alto,196,3770.08,2639.06,565.51
2025-03-13,San Mateo,San Mateo,92,2190.4,1533.28,328.56
2025-01-01,Marin,Mill Valley,52,996.48,697.54,149.47
2025-04-18,Alameda,Fremont,138,2920.22,2044.15,438.03
2025-06-01,Solano,Fairfield,141,2681.31,1876.92,402.2
2025-03-14,Alameda,Oakland,176,3377.01,2363.91,506.55
2025-06-28,Marin,San Rafael,172,3555.83,2489.08,533.37
2025-05-17,Sonoma,Santa Rosa,138,2833.88,1983.72,425.08
2025-06-21,Napa,Yountville,139,2611.01,1827.71,391.65
2025-04-04,Santa Clara,Palo Alto,83,1943.29,1360.3,291.49
2025-01-08,Solano,Vacaville,75,1478.86,1035.2,221.83
2025-02-12,Napa,Yountville,71,1598.97,1119.28,239.85
2025-04-05,Solano,Vallejo,152,3328.26,2329.78,499.24
2025-03-11,Napa,St. Helena,180,3961.67,2773.17,594.25
2025-05-16,Napa,St. Helena,176,3319.53,2323.67,497.93
2025-02-26,Marin,Novato,73,1794.95,1256.46,269.24
2025-04-25,Marin,San Rafael,198,4811.01,3367.71,721.65
2025-04-12,Contra Costa,Walnut Creek,84,1636.58,1145.61,245.49
2025-03-09,Napa,St. Helena,72,1342.8,939.96,201.42
2025-03-02,Santa Clara,Mountain View,72,1366.51,956.56,204.98
2025-02-09,Santa Clara,San Jose,116,2430.12,1701.08,364.52
2025-05-28,Marin,Novato,125,2681.58,1877.11,402.24
2025-01-12,Contra Costa,Concord,129,2348.0,1643.6,352.2
2025-05-15,Solano,Vallejo,135,2655.89,9295.6,1991.9
2025-01-23,Sonoma,Petaluma,168,4187.63,2931.34,628.14
2025-06-30,Napa,Napa,198,3789.22,2652.45,568.38
2025-02-13,Alameda,Oakland,51,1105.86,774.1,165.88
2025-05-04,San Mateo,San Mateo,64,1472.92,1031.04,220.94
2025-03-18,Solano,Fairfield,125,2293.86,1605.7,344.08
2025-04-04,Contra Costa,Concord,193,4613.8,3229.66,692.07
2025-01-03,Contra Costa,Walnut Creek,97,2013.41,1409.39,302.01
2025-02-25,Sonoma,Petaluma,119,2905.7,2033.99,435.85
2025-01-27,Solano,Fairfield,129,2929.29,2050.5,439.39
2025-03-06,Napa,Yountville,154,2792.55,1954.79,418.88
2025-03-06,Solano,Fairfield,139,3469.23,2428.46,520.38
2025-06-29,Napa,St. Helena,88,2093.74,1465.62,314.06
2025-03-03,San Mateo,Daly City,95,1805.89,1264.12,270.88
2025-06-08,Sonoma,Petaluma,136,2561.61,1793.13,384.24
2025-01-02,Contra Costa,Richmond,189,4400.7,3080.49,660.1
2025-04-14,San Mateo,Daly City,58,1384.6,969.22,207.69
2025-03-27,Sonoma,Healdsburg,188,4370.6,3059.42,655.59
2025-02-28,Santa Clara,Palo Alto,125,2259.92,1581.94,338.99
2025-06-24,Marin,Novato,60,1092.82,764.97,163.92
2025-02-09,Sonoma,Santa Rosa,159,2961.59,2073.11,444.24
2025-05-16,Sonoma,Petaluma,159,3885.14,2719.6,582.77
2025-02-14,San Francisco,San Francisco,156,2836.42,1985.49,425.46
2025-03-27,San Francisco,San Francisco,100,2061.57,1443.1,309.24
2025-06-22,San Mateo,Redwood City,107,2480.58,1736.41,372.09
2025-06-29,Sonoma,Petaluma,100,1837.3,1286.11,275.59
2025-05-09,Napa,Yountville,88,2069.35,1448.54,310.4
2025-01-10,Sonoma,Healdsburg,127,2414.47,1690.13,362.17
2025-01-16,Sonoma,Petaluma,158,3879.48,2715.64,581.92
2025-01-25,Santa Clara,San Jose,111,2074.57,1452.2,311.19
2025-06-14,Napa,Yountville,173,3814.18,2669.93,572.13
2025-03-11,Santa Clara,San Jose,176,3644.35,2551.04,546.65
2025-01-12,Solano,Vallejo,89,1709.88,1196.92,256.48
2025-04-06,Solano,Vallejo,104,1918.24,1342.77,287.74
2025-06-17,Marin,Mill Valley,127,3050.08,2135.06,457.51
2025-05-01,San Mateo,Redwood City,128,2950.12,2065.08,442.52
2025-05-20,Sonoma,Santa Rosa,150,3287.45,2301.21,493.12
2025-02-01,San Francisco,San Francisco,147,3200.12,2240.08,480.02
2025-05-22,San Mateo,Daly City,128,2720.45,1904.31,408.07
2025-02-01,Sonoma,Petaluma,150,3500.12,2450.08,525.02
2025-04-20,San Mateo,Redwood City,128,2950.12,2065.08,442.52
2025-05-21,Sonoma,Healdsburg,128,2950.12,2065.08,442.52
2025-05-22,Contra Costa,Walnut Creek,128,2950.12,2065.08,442.52
2025-05-23,San Francisco,San Francisco,128,2950.12,2065.08,442.52
2025-05-24,San Mateo,San Mateo,128,2950.12,2065.08,442.52
2025-05-25,Alameda,Fremont,128,2950.12,2065.08,442.52
2025-05-26,Marin,Novato,128,2950.12,2065.08,442.52
2025-05-27,Solano,Fairfield,128,2950.12,2065.08,442.52
2025-05-28,Sonoma,Santa Rosa,128,2950.12,2065.08,442.52
2025-05-29,San Francisco,San Francisco,128,2950.12,2065.08,442.52
2025-05-30,Contra Costa,Richmond,128,2950.12,2065.08,442.52
2025-05-31,San Mateo,Daly City,128,2950.12,2065.08,442.52
2025-06-01,Alameda,Berkeley,128,2950.12,2065.08,442.52
2025-06-02,San Mateo,Redwood City,128,2950.12,2065.08,442.52
2025-06-03,Sonoma,Petaluma,128,2950.12,2065.08,442.52
2025-06-04,Marin,Mill Valley,128,2950.12,2065.08,442.52
2025-06-05,Santa Clara,Palo Alto,128,2950.12,2065.08,442.52
2025-06-06,San Francisco,San Francisco,128,2950.12,2065.08,442.52
2025-06-07,Solano,Vacaville,128,2950.12,2065.08,442.52
2025-06-08,Contra Costa,Walnut Creek,128,2950.12,2065.08,442.52
2025-06-09,Napa,Yountville,128,2950.12,2065.08,442.52
